漢字,異体字
杯,盃
杯,桮
杯,㮎
泊,淿
爆,煿
罰,罸
罰,罚
販,贩
盤,鎜
盤,盘
尾,㞑
微,㣲
怖,悑
膚,肤
腐,焤
普,暜
賦,䝾
賦,赋
柄,棅
峰,峯
凡,凢
凡,凣
漫,澷
妙,玅
霧,霚
霧,雾
網,䋞
紋,纹
躍,跃
雄,䧺
踊,踴
雷,靁
雷,壨
雷,䨓
絡,络
療,疗
麗,䴡
麗,婯
麗,丽
烈,烮
烈,煭
腕,䯛
閲,閱
閲,阅
卸,缷
卸,䣃
架,榢
華,蕐
華,华
怪,恠
塊,块
塊,㙕
該,该
郭,墎
貫,䝺
貫,贯
緩,缓
換,换
喚,唤
企,㑫
軌,䡄
軌,轨
棄,弃
棋,棊
棋,檱
棋,㯦
棋,櫀
忌,坖
岐,㞿
岐,㟚
騎,骑
菊,蘜
吉,𠮷
脅,脋
脅,胁
脅,𦚰
緊,紧
携,攜
携,㩦
携,擕
携,㩗
刑,㓝
憩,憇
鯨,鲸
賢,贒
賢,贤
賢,䝨
幻,㕕
幻,𠄔
悟,忢
拘,抅
綱,纲
綱,㭃
絞,绞
獄,狱
魂,䰟
紺,绀
債,债
錯,错
暫,暂
諮,谘
軸,轴
鐘,钟
焦,㸈
昇,曻
昇,陹
匠,匞
錠,锭
冗,宂
審,宷
審,审
辛,𨐌
斥,㡿
繕,缮
礎,础
桑,桒
桑,𥸮
葬,塟
賊,戝
賊,贼
胎,孡
胎,囼
託,讬
卓,㔬
奪,夺
鍛,煅
鍛,锻
壇,坛
稚,穉
稚,稺
稚,䄺
稚,䆈
駐,驻
彫,㓮
陳,塦
陳,軙
陳,陈
訂,订
締,缔
哲,啠
哲,喆
哲,嚞
哲,埑
陶,嗂
凍,冻
篤,䔍
篤,笃
豚,豘
豚,㞘
尿,㞙
尿,㳮
粘,黏
婆,㜑
縛,缚
伐,傠
帆,㠶
帆,䑺
苗,鱙
紛,纷
縫,綘
縫,缝
邦,峀
邦,䢶
乏,𣥄
謀,谋
謀,㖼
又,叹
魅,鬽
魅,䰨
滅,㓕
