漢字,含む漢字
一,弆
一,弤
一,彽
一,彾
一,忥
一,怌
一,怑
一,抩
一,抲
一,昁
一,昙
一,枃
一,枟
一,欦
一,氜
一,氝
一,汬
一,沬
一,沰
一,泀
一,泆
一,泋
一,泍
一,泜
一,泞
一,泟
一,泠
一,泮
一,炐
一,狉
一,狑
一,狚
一,玤
一,疞
一,矷
一,糽
一,苵
一,苿
一,迗
一,阾
一,陃
一,㐛
一,㐩
一,㑉
一,㑍
一,㒺
一,㓊
一,㓋
一,㓣
一,㔙
一,㕉
一,㘱
一,㚘
一,㚰
一,㚸
一,㝵
一,㝾
一,㝿
一,㞹
一,㟃
一,㡵
一,㡷
一,㡺
一,㣋
一,㤑
一,㤓
一,㤖
一,㦱
一,㪁
一,㪂
一,㪴
一,㫙
一,㭋
一,㰟
一,㰢
一,㱚
一,㱛
一,㱜
一,㱝
一,㲴
一,㳎
一,㸬
一,㺰
一,䂆
一,䂘
一,䂙
一,䄪
一,䏓
一,䏗
一,䏛
一,䒪
一,䢎
一,鱼
一,咙
一,泷
一,庞
一,垄
一,陇
一,宠
一,茏
一,拢
一,丽
一,帓
一,昋
一,䢌
一,枔
一,码
一,规
一,丧
一,侢
一,侥
一,贪
一,贮
一,咗
一,咛
一,顶
一,奍
一,姗
一,峄
一,怽
一,怿
一,拦
一,拧
一,择
一,垅
一,泹
一,泽
一,陆
一,狞
一,矾
一,矿
一,砀
一,饲
一,驿
一,绊
一,绎
一,肼
一,㒬
一,钓
一,㓦
一,诔
一,诜
一,诟
一,进
一,远
一,邻
一,㭐
一,㲐
一,㳓
一,㳕
一,㹪
一,㺻
一,䜤
一,𠦚
一,𠈓
一,𪫧
一,𡶡
一,𨐌
一,𣧍
一,𥃲
一,室
一,首
一,春
一,前
一,昼
一,屋
一,研
一,拾
一,送
一,発
一,美
一,面
一,型
一,建
一,律
一,便
一,約
一,要
一,逆
一,政
一,巻
一,砂
一,専
一,宣
一,洗
一,奏
一,肺
一,威
一,狭
一,恒
一,咲
一,是
一,耐
一,柄
一,冒
一,冠
一,峡
一,契
一,胆
一,訂
一,厘
一,垣
一,挟
一,洪
一,砕
一,津
一,甚
一,亭
一,洞
一,畏
一,柵
一,昧
一,姶
一,珂
一,恰
一,衿
一,垢
一,荊
一,巷
一,珊
一,屍
一,柘
一,茜
一,殆
一,廼
一,姪
一,叛
一,柾
一,俣
一,祐
一,玲
一,歪
一,俚
一,兪
一,冑
一,剏
一,剄
一,勁
一,厖
一,咢
一,咸
一,咥
一,哄
一,哈
一,哂
一,垤
一,姜
一,屏
一,恍
一,恫
一,扁
一,拱
一,拯
一,拵
一,斫
一,昜
一,閂
一,柯
一,柢
一,胝
一,胚
一,胖
一,洸
一,洽
一,洌
一,洒
一,爰
一,癸
一,砒
一,砌
一,牴
一,酊
一,炳
一,陋
一,陌
一,疣
一,殃
一,殄
一,荅
一,荐
一,莽
一,衍
一,穽
一,矜
一,舁
一,拜
一,畊
一,畉
一,恠
一,恆
一,垳
一,垪
一,哘
一,峇
一,竒
一,姮
一,荆
一,俞
一,拪
一,郃
一,郈
一,郅
一,郱
一,郑
一,䊸
一,羑
一,羿
一,耍
一,耏
一,耎
一,耑
一,耔
一,茟
一,荁
一,荇
一,茩
一,兹
一,茬
一,荎
一,茼
一,荂
一,茢
一,荚
一,虺
一,衎
一,袀
一,衻
一,瓝
一,畇
一,畐
一,盶
一,砑
一,砎
一,砍
一,砉
一,砆
