漢字,分類
載,数の単位
咲,かわいい（名付け）
煮,火・炎
盾,防具
畳,左右対称
震,方向・方位
震,八卦・六十四卦
震,歴代の今年の漢字
井,都道府県名
桃,かわいい（名付け）
倒,歴代の今年の漢字
胴,身体（体の部位）
胴,防具
曇,天気・気象
弐,大字
拍,音楽
微,数の単位
普,左右対称
舞,かわいい（名付け）
冒,左右対称
矛,武器
霧,天気・気象
腰,身体（体の部位）
踊,音楽
翼,鳥
雷,左右対称
雷,天気・気象
離,方向・方位
離,八卦・六十四卦
麗,美しい
麗,華やか
露,国名（略称）
露,天気・気象
腕,身体（体の部位）
炎,同じ漢字二つで構成
炎,火・炎
乙,干支（十二支・十干）
乙,かわいい（名付け）
華,左右対称
華,美しい
華,華やか
岐,都道府県名
吉,左右対称
鶏,鳥の名前（漢字一文字）
鯨,動物
甲,干支（十二支・十干）
甲,左右対称
甲,防具
晶,同じ漢字三つで構成
晶,左右対称
辛,干支（十二支・十干）
辛,左右対称
双,同じ漢字二つで構成
鋳,金属
帝,王・君主
姫,かわいい（名付け）
苗,左右対称
苗,植物
某,左右対称
魅,艶めかしい
厘,数の単位
零,大字
霊,左右対称
亜,左右対称
凹,左右対称
潟,都道府県名
且,左右対称
偽,歴代の今年の漢字
茎,植物
洪,国名（略称）
侯,貴族・諸侯
侯,爵位（五爵）
溝,数の単位
佐,都道府県名
宰,左右対称
宰,貴族・諸侯
崎,都道府県名
滋,都道府県名
漆,大字
爵,貴族・諸侯
珠,まるい・円形
珠,かわいい（名付け）
囚,左右対称
銃,武器
唇,身体（体の部位）
繊,数の単位
霜,天気・気象
曹,左右対称
泰,国名（略称）
呈,左右対称
凸,左右対称
伯,貴族・諸侯
伯,爵位（五爵）
漠,数の単位
妃,かわいい（名付け）
譜,音楽
丙,干支（十二支・十干）
丙,左右対称
羅,国名（略称）
竜,想像上の動物
塁,左右対称
嵐,天気・気象
茨,都道府県名
媛,都道府県名
艶,艶めかしい
岡,都道府県名
顎,身体（体の部位）
釜,左右対称
韓,国名（略称）
錦,華やか
串,左右対称
熊,動物
熊,都道府県名
虎,動物
虎,歴代の今年の漢字
喉,身体（体の部位）
沙,数の単位
塞,左右対称
埼,都道府県名
尻,身体（体の部位）
曽,左右対称
旦,左右対称
爪,身体（体の部位）
鶴,鳥の名前（漢字一文字）
瞳,身体（体の部位）
栃,都道府県名
奈,都道府県名
奈,かわいい（名付け）
梨,都道府県名
梨,かわいい（名付け）
阪,都道府県名
眉,身体（体の部位）
膝,身体（体の部位）
肘,身体（体の部位）
阜,都道府県名
冥,左右対称
妖,艶めかしい
蛙,動物
杏,左右対称
杏,かわいい（名付け）
伊,国名（略称）
寅,方向・方位
寅,干支（十二支・十干）
寅,左右対称
烏,鳥の名前（漢字一文字）
焔,火・炎
燕,鳥の名前（漢字一文字）
鳶,鳥の名前（漢字一文字）
姶,美しい
鴨,鳥の名前（漢字一文字）
鶯,鳥の名前（漢字一文字）
鴬,鳥の名前（漢字一文字）
鴎,鳥の名前（漢字一文字）
鷹,鳥の名前（漢字一文字）
霞,天気・気象
蟹,動物
鎧,防具
