漢字,名乗り訓
道,おさめ
道,じ
道,ただし
道,ち
道,つね
道,なお
道,なおし
道,のり
道,まさ
道,ゆう
道,ゆき
道,より
道,わたる
同,あつ
同,あつむ
同,とも
同,ひとし
南,あけ
南,なみ
南,みな
南,よし
馬,たけし
半,なか
半,なからい
歩,あゆみ
歩,あゆむ
歩,すすむ
風,か
分,くまり
分,ちか
分,わか
聞,か
聞,ひろ
北,た
万,かず
万,かつ
万,すすむ
万,たか
万,つむ
万,つもる
万,ま
鳴,なり
明,あきら
明,あけ
明,てる
明,はる
明,ひろ
毛,あつ
門,ひろ
門,ゆき
野,とお
野,なお
野,ぬ
野,ひろ
夜,やす
友,すけ
友,ゆ
曜,あき
曜,あきら
曜,てらす
曜,てる
曜,ひかり
用,ちか
用,もち
来,き
来,く
来,こ
来,な
来,ゆき
来,ら
里,さとし
里,さとる
里,のり
理,あや
理,おさ
理,おさむ
理,さと
理,すけ
理,たか
理,ただ
理,ただし
理,とし
理,のり
理,まさ
理,みち
理,よし
安,あ
安,さだ
安,やすし
医,おさむ
育,すけ
育,なり
育,なる
育,やす
員,さだ
運,かず
運,やす
運,ゆき
央,あきら
央,お
央,ちか
央,てる
央,なか
央,ひさ
央,ひさし
央,ひろ
央,ひろし
温,あつ
温,あつし
温,いろ
温,すなお
温,ただす
温,つつむ
温,なが
温,ならう
温,のどか
温,はる
温,まさ
温,みつ
温,やす
温,ゆたか
温,よし
開,あき
開,あけ
開,さく
開,さとる
開,とおる
開,のぶ
開,はじめ
開,はる
開,はるき
開,ひら
起,おき
起,かず
起,たつ
起,ゆき
球,まり
究,きわみ
究,きわむ
究,さた
究,さだ
究,すみ
究,み
去,なる
橋,たか
業,なり
業,のり
銀,かね
具,とも
君,きん
君,こ
君,すえ
君,なお
君,よし
化,のり
軽,かる
軽,とし
係,たえ
研,あき
研,かず
研,きし
研,きよ
研,よし
湖,うみ
湖,ご
湖,ひろし
幸,さき
幸,たか
幸,とも
幸,ひで
幸,ゆき
幸,よし
向,ひさ
始,とも
始,はじめ
始,はる
始,もと
歯,かた
歯,とし
詩,たもつ
詩,ゆき
仕,まなぶ
次,ちか
次,つぐ
次,ひで
実,これ
実,ちか
実,なお
実,のり
実,みつ
実,みのる
酒,み
守,え
守,さね
守,まもる
主,かず
主,きみ
主,つかさ
主,もり
主,ゆき
習,しげ
習,まなぶ
集,あい
集,あつむ
集,い
集,ため
集,ち
集,ちか
集,つどい
集,やす
集,やすし
重,あつ
重,あつし
重,おもし
重,かさぬ
重,かず
重,かたし
重,しげ
重,しげし
重,しげる
重,ただ
重,ただし
重,のぶ
重,ふさ
助,たすく
助,ひろ
助,ます
昭,あきら
昭,いか
昭,てる
章,あき
章,あきら
