漢字,漢字構成
遡,辶＋丷＋一＋凵＋丿＋月
遡,辶＋丷＋一＋凵＋丨＋月
曽,曽
曽,丷＋田＋日
爽,爽
爽,大＋㸚
爽,大＋爻
爽,大＋㐅＋乂
爽,大＋㐅＋丿
痩,痩
痩,疒＋申＋又
踪,踪
踪,足＋宗
踪,口＋龰＋宀＋示
踪,口＋止＋宀＋示
捉,捉
捉,扌＋足
捉,扌＋口＋龰
捉,扌＋口＋止
遜,遜
遜,辶＋孫
遜,辶＋子＋系
遜,辶＋子＋丿＋糸
遜,辶＋子＋丿＋幺＋小
汰,汰
汰,氵＋太
汰,氵＋大＋丶
唾,唾
唾,口＋垂
堆,堆
堆,土＋隹
戴,戴
戴,十＋戈＋異
戴,十＋戈＋田＋共
戴,十＋戈＋田＋龷＋八
戴,十＋戈＋田＋卄＋一＋八
戴,十＋戈＋田＋一＋丨＋八
誰,誰
誰,言＋隹
旦,旦
旦,日＋一
綻,綻
綻,糸＋定
綻,幺＋小＋宀＋一＋龰
緻,緻
緻,糸＋致
緻,絰＋攵
緻,幺＋小＋至＋攵
緻,糸＋至＋攵
緻,幺＋小＋一＋厶＋土＋攵
酎,酎
酎,酉＋寸
貼,貼
貼,貝＋占
貼,貝＋卜＋口
嘲,嘲
嘲,口＋朝
嘲,口＋龺＋月
嘲,口＋十＋日＋月
捗,捗
捗,扌＋歩
捗,扌＋步
捗,扌＋止＋少
捗,扌＋止＋小＋丿
椎,椎
椎,木＋隹
爪,爪
鶴,鶴
鶴,隺＋鳥
鶴,冖＋隹＋鳥
諦,諦
諦,言＋帝
諦,言＋亠＋丷＋冖＋巾
溺,溺
溺,氵＋弱
溺,氵＋弓＋冫
填,填
填,土＋真
填,土＋十＋具
填,土＋十＋目＋一＋八
妬,妬
妬,女＋石
妬,女＋丆＋口
妬,女＋一＋丿＋口
賭,賭
賭,貝＋者
賭,貝＋者＋丶
賭,貝＋耂＋日＋丶
藤,藤
藤,艹＋滕
藤,艹＋月＋龹＋氺
藤,艹＋月＋丷＋二＋人＋氺
藤,艹＋月＋八＋二＋人＋氺
藤,艹＋月＋丷＋一＋人＋氺
藤,艹＋月＋八＋一＋人＋氺
瞳,瞳
瞳,目＋童
瞳,目＋立＋里
瞳,目＋立＋甲＋二
瞳,目＋立＋甲＋一
栃,栃
栃,木＋⺁＋万
頓,頓
頓,屯＋頁
頓,丿＋凵＋乚＋頁
貪,貪
貪,今＋貝
貪,亼＋貝
貪,亽＋貝
貪,人＋一＋貝
貪,人＋丶＋貝
丼,丼
丼,井＋丶
丼,二＋丿＋丨＋丶
丼,一＋丿＋丨＋丶
那,那
那,阝
奈,奈
奈,大＋示
梨,梨
梨,利＋木
梨,禾＋刂＋木
謎,謎
謎,言＋迷
謎,言＋辶＋米
鍋,鍋
鍋,金＋咼
鍋,金＋冎＋口
匂,匂
匂,勹＋匕
虹,虹
虹,虫＋工
捻,捻
捻,扌＋念
捻,扌＋今＋心
捻,扌＋亼＋心
捻,扌＋亽＋心
捻,扌＋人＋一＋心
捻,扌＋人＋丶＋心
罵,罵
罵,罒＋馬
剥,剥
剥,录＋刂
剥,彐＋氺＋刂
箸,箸
箸,竹＋者
箸,竹＋者＋丶
箸,竹＋耂＋日＋丶
氾,氾
氾,氵＋㔾
汎,汎
汎,氵＋凡
汎,氵＋几＋丶
阪,阪
阪,阝＋反
阪,阝＋厂＋又
斑,斑
斑,王＋文
斑,王＋亠＋乂
斑,王＋亠＋丿
眉,眉
眉,目
膝,膝
膝,月＋桼
膝,月＋木＋人＋氺
肘,肘
肘,月＋寸
阜,阜
阜,𠂤＋十
阜,丿＋㠯＋十
訃,訃
訃,言＋卜
蔽,蔽
蔽,艹＋敝
蔽,艹＋㡀＋攵
蔽,艹＋丷＋巾＋八＋攵
餅,餅
餅,食＋并
餅,食＋丷＋开
餅,食＋丷＋一＋廾
餅,食＋丷＋一＋丿＋丨
璧,璧
璧,辟＋玉
璧,尸＋口＋辛＋王＋丶
璧,尸＋口＋立＋十＋王＋丶
蔑,蔑
蔑,艹＋罒＋戍
蔑,艹＋罒＋戌
蔑,艹＋罒＋戊＋丶
蔑,艹＋罒＋戊＋一
蔑,艹＋罒＋丿＋戈＋丶
蔑,艹＋罒＋丿＋戈＋一
哺,哺
哺,口＋甫
蜂,蜂
蜂,虫＋夆
蜂,虫＋夂＋丰
蜂,虫＋夂＋三＋丨
蜂,虫＋夂＋一＋丨
貌,貌
貌,豸＋皃
貌,豸＋白＋儿
頬,頬
頬,夹＋頁
頬,二＋丷＋人＋頁
頬,一＋丷＋大＋頁
頬,一＋丷＋人＋頁
睦,睦
睦,目＋坴
睦,目＋圥＋土
睦,目＋土＋儿
勃,勃
勃,孛＋力
勃,十＋冖＋子＋力
昧,昧
昧,日＋未
昧,日＋一＋木
枕,枕
枕,木＋冘
枕,木＋冖＋丿＋乚
蜜,蜜
蜜,宓＋虫
蜜,宀＋必＋虫
蜜,宀＋心＋丿＋虫
冥,冥
冥,冖＋昗
冥,冖＋日＋六
冥,冖＋日＋亠＋八
麺,麺
麺,麦＋面
麺,龶＋夂＋一＋丿＋囬
麺,龶＋夂＋一＋丿＋囗＋丨
冶,冶
冶,冫＋台
冶,冫＋厶＋口
弥,弥
弥,弓＋尓
弥,弓＋尔
弥,弓＋𠂉＋小
弥,弓＋丿＋乛＋小
闇,闇
闇,門＋音
闇,門＋立＋日
喩,喩
喩,口＋兪
喩,口＋入＋一＋月＋巜
湧,湧
湧,氵＋勇
湧,氵＋龴＋田＋力
湧,氵＋甬＋力
湧,氵＋龴＋用＋力
妖,妖
妖,女＋夭
妖,女＋丿＋大
瘍,瘍
瘍,疒＋昜
瘍,疒＋旦＋勿
瘍,疒＋日＋一＋勹＋丿
沃,沃
沃,氵＋夭
沃,氵＋丿＋大
拉,拉
拉,扌＋立
辣,辣
辣,辛＋束
辣,立＋十＋束
藍,藍
藍,艹＋監
藍,艹＋臣＋𠂉＋一＋皿
璃,璃
璃,王＋离
璃,王＋㐫＋禸
璃,王＋亠＋凶＋冂＋厶
璃,王＋亠＋凵＋㐅＋冂＋厶
慄,慄
慄,忄＋栗
慄,忄＋覀＋木
慄,忄＋西＋木
慄,忄＋襾＋木
慄,忄＋一＋儿＋口＋木
侶,侶
侶,亻＋呂
侶,亻＋口＋丿
瞭,瞭
瞭,目＋尞
瞭,目＋昚＋小
瞭,目＋大＋丷＋日＋小
瑠,瑠
瑠,王＋留
瑠,王＋刀＋田
呂,呂
呂,口＋丿
賂,賂
賂,貝＋各
賂,貝＋夂＋口
弄,弄
弄,王＋廾
弄,王＋一＋丿＋丨
籠,籠
籠,竹＋龍
籠,竹＋立＋月
麓,麓
麓,林＋鹿
麓,木＋广＋比
脇,脇
脇,月＋劦
脇,月＋力
思,思
思,田＋心
貿,貿
貿,刀＋貝
片,片
唖,唖
唖,口＋亜
唖,口＋一＋丨
娃,娃
娃,女＋圭
娃,女＋土
窪,窪
窪,穴＋洼
窪,宀＋八＋氵＋圭
窪,宀＋八＋氵＋土
蛙,蛙
蛙,虫＋圭
蛙,虫＋土
阿,阿
阿,阝＋可
阿,阝＋丁＋口
阿,阝＋一＋亅＋口
渥,渥
渥,氵＋屋
渥,氵＋尸＋至
渥,氵＋尸＋一＋厶＋土
斡,斡
斡,龺＋人＋斗
斡,十＋日＋人＋斗
庵,庵
庵,广＋奄
庵,广＋大＋电
庵,广＋大＋日＋乚
按,按
按,扌＋安
按,扌＋宀＋女
杏,杏
杏,木＋口
鞍,鞍
鞍,革＋安
鞍,革＋宀＋女
伊,伊
伊,亻＋尹
倭,倭
倭,亻＋委
倭,亻＋禾＋女
夷,夷
夷,大＋弓
惟,惟
惟,忄＋隹
葦,葦
葦,艹＋韋
葦,艹＋口＋㐄
蔚,蔚
蔚,艹＋尉
蔚,艹＋尸＋示＋寸
謂,謂
謂,言＋胃
謂,言＋田＋月
飴,飴
飴,食＋台
飴,食＋厶＋口
鮪,鮪
鮪,魚＋有
鮪,⺈＋田＋灬＋月
粥,粥
粥,弓＋米
郁,郁
郁,有＋阝
郁,月＋阝
溢,溢
溢,氵＋益
溢,氵＋益
溢,氵＋䒑＋八＋皿
溢,氵＋丷＋一＋八＋皿
鰯,鰯
鰯,魚＋弱
鰯,⺈＋田＋灬＋弓＋冫
允,允
允,厶＋儿
寅,寅
寅,宀＋一＋由＋八
胤,胤
胤,丿＋幺＋月＋乚
蔭,蔭
蔭,艹＋陰
蔭,艹＋阝＋侌
蔭,艹＋阝＋今＋云
蔭,艹＋阝＋亼＋二＋厶
蔭,艹＋阝＋亽＋二＋厶
蔭,艹＋阝＋人＋丶＋一＋厶
鸚,鸚
鸚,嬰＋鳥
鸚,賏＋女＋鳥
鸚,貝＋女＋鳥
佑,佑
佑,亻＋右
佑,亻＋丿＋一＋口
烏,烏
胡,胡
胡,古＋月
胡,十＋口＋月
迂,迂
迂,辶＋于
苑,苑
苑,艹＋夗
苑,艹＋夕＋㔾
云,云
云,二＋厶
云,一＋厶
廻,廻
廻,廴＋回
廻,廴＋囗＋口
慧,慧
慧,彗＋心
慧,丰＋彐＋心
慧,三＋丨＋彐＋心
慧,一＋丨＋彐＋心
叡,叡
叡,睿＋又
叡,卜＋冖＋一＋八＋人＋目＋又
嬰,嬰
嬰,賏＋女
嬰,貝＋女
曳,曳
洩,洩
洩,氵＋曳
瑛,瑛
瑛,王＋英
瑛,王＋艹＋央
盈,盈
盈,夃＋皿
盈,乃＋又＋皿
穎,穎
穎,匕＋禾＋頁
亦,亦
亦,亠＋丿＋亅
厭,厭
厭,厂＋猒
厭,厂＋冐＋犬
厭,厂＋冃＋月＋犬
厭,厂＋日＋月＋犬
厭,厂＋冂＋二＋月＋犬
厭,厂＋冂＋一＋月＋犬
堰,堰
堰,土＋匽
堰,土＋匚＋妟
堰,土＋匸＋妟
堰,土＋匚＋日＋女
堰,土＋匸＋日＋女
奄,奄
奄,大＋电
奄,大＋日＋乚
掩,掩
掩,扌＋奄
掩,扌＋大＋电
掩,扌＋大＋日＋乚
淵,淵
淵,氵＋片＋一＋爿
焔,焔
焔,火＋⺈＋旧
焔,火＋⺈＋丨＋日
燕,燕
燕,廿＋北＋口＋灬
薗,薗
薗,艹＋園
薗,艹＋囗＋袁
薗,艹＋囗＋土＋口
鳶,鳶
鳶,弋＋鳥
鴛,鴛
鴛,夗＋鳥
鴛,夕＋㔾＋鳥
於,於
於,方＋仒
於,方＋人＋丶
凰,凰
凰,几＋皇
凰,几＋白＋王
姶,姶
姶,女＋合
姶,女＋亼＋口
姶,女＋人＋一＋口
襖,襖
襖,衤＋奧
襖,衤＋奥
襖,衤＋丿＋冂＋釆＋大
襖,衤＋丿＋冂＋米＋大
邑,邑
邑,口＋巴
鴨,鴨
鴨,甲＋鳥
鴦,鴦
鴦,央＋鳥
鶯,鶯
鶯,𤇾＋鳥
鶯,炏＋冖＋鳥
鶯,火＋冖＋鳥
鴬,鴬
鴬,⺍＋冖＋鳥
鴎,鴎
鴎,区＋鳥
鴎,匚＋㐅＋鳥
鴎,匸＋㐅＋鳥
鷹,鷹
鷹,䧹＋鳥
鷹,广＋倠＋鳥
鷹,广＋亻＋隹＋鳥
伽,伽
伽,亻＋加
伽,亻＋力＋口
卦,卦
卦,圭＋卜
卦,土＋卜
嘉,嘉
嘉,壴＋加
嘉,十＋豆＋力＋口
嘩,嘩
嘩,口＋華
嘩,口＋艹
榎,榎
榎,木＋夏
榎,木＋一＋自＋夂
樺,樺
樺,木＋華
樺,木＋艹
珂,珂
珂,王＋可
珂,王＋丁＋口
珂,王＋一＋亅＋口
瓜,瓜
禾,禾
茄,茄
茄,艹＋加
茄,艹＋力＋口
蝦,蝦
蝦,虫＋叚
蝦,虫＋又
迦,迦
迦,辶＋加
迦,辶＋力＋口
霞,霞
霞,雨＋叚
霞,雨＋又
俄,俄
俄,亻＋我
峨,峨
峨,山＋我
臥,臥
臥,臣＋人
蛾,蛾
蛾,虫＋我
駕,駕
駕,加＋馬
駕,力＋口＋馬
凱,凱
凱,豈＋几
凱,山＋豆＋几
咳,咳
咳,口＋亥
咳,口＋亠＋人
堺,堺
堺,土＋界
堺,土＋田＋介
堺,土＋田＋人＋丿＋丨
恢,恢
恢,忄＋灰
恢,忄＋厂＋火
晦,晦
晦,日＋毎
晦,日＋每
晦,日＋𠂉＋毋
晦,日＋𠂉＋母
檜,檜
檜,木＋會
檜,木＋亼＋日
檜,木＋人＋一＋日
桧,桧
桧,木＋会
桧,木＋人＋云
桧,木＋人＋二＋厶
桧,木＋人＋一＋厶
漑,漑
漑,氵＋既
漑,氵＋旣
漑,氵＋皀＋旡
漑,氵＋白＋匕＋旡
芥,芥
芥,艹＋介
芥,艹＋人＋丿＋丨
蟹,蟹
蟹,解＋虫
蟹,角＋刀＋牛＋虫
鎧,鎧
鎧,金＋豈
鎧,金＋山＋豆
魁,魁
魁,鬼＋斗
鮭,鮭
鮭,魚＋圭
鮭,⺈＋田＋灬＋土
亥,亥
亥,亠＋人
碍,碍
碍,石＋㝵
碍,丆＋口＋旦＋寸
碍,一＋丿＋口＋日＋寸
苅,苅
苅,艹＋刈
苅,艹＋㐅＋刂
劃,劃
劃,畫＋刂
劃,聿＋田＋一＋刂
劃,肀＋二＋田＋一＋刂
塙,塙
塙,土＋高
塙,土＋亠＋口＋冋
塙,土＋亠＋口＋冂
廓,廓
廓,广＋郭
廓,广＋享＋阝
廓,广＋亠＋口＋子＋阝
掴,掴
掴,扌＋国
掴,扌＋囗＋玉
掴,扌＋囗＋王＋丶
攪,攪
攪,扌＋覺
攪,扌＋⺽＋爻＋冖＋見
攪,扌＋⺽＋㐅＋乂＋冖＋見
攪,扌＋⺽＋㐅＋丿＋冖＋見
撹,撹
撹,扌＋覚
撹,扌＋⺍＋冖＋見
赫,赫
赫,赤
鍔,鍔
鍔,金＋咢
鍔,金＋吅＋亏
鍔,金＋口＋一＋丂
鍔,金＋口＋二
鰐,鰐
鰐,魚＋咢
鰐,⺈＋田＋灬＋吅＋亏
鰐,⺈＋田＋灬＋口＋一＋丂
鰐,⺈＋田＋灬＋口＋二
樫,樫
樫,木＋堅
樫,木＋臤＋土
樫,木＋臣＋又＋土
筈,筈
筈,竹＋舌
筈,竹＋千＋口
恰,恰
恰,忄＋合
恰,忄＋亼＋口
恰,忄＋人＋一＋口
侃,侃
侃,亻＋口＋川
函,函
函,丂＋凵
凾,凾
凾,了＋叹＋凵
凾,乛＋亅＋口＋又＋凵
姦,姦
姦,女＋奻
柑,柑
柑,木＋甘
桓,桓
桓,木＋亘
桓,木＋一＋旦
桓,木＋一＋日
澗,澗
澗,氵＋間
澗,氵＋門＋日
灌,灌
灌,氵＋雚
灌,氵＋艹＋吅＋隹
灌,氵＋卝＋吅＋隹
灌,氵＋艹＋口＋隹
灌,氵＋卝＋口＋隹
潅,潅
潅,氵＋隹
竿,竿
竿,竹＋干
翰,翰
翰,龺＋人＋羽
翰,十＋日＋人＋羽
舘,舘
舘,舍＋官
舘,人＋舌＋宀＋㠯
舘,人＋千＋口＋宀＋㠯
莞,莞
莞,艹＋完
莞,艹＋宀＋元
莞,艹＋宀＋一＋兀
莞,艹＋宀＋一＋儿
菅,菅
菅,艹＋官
菅,艹＋宀＋㠯
萱,萱
萱,艹＋宣
萱,艹＋宀＋亘
萱,艹＋宀＋一＋旦
萱,艹＋宀＋一＋日
諫,諫
諫,言＋柬
諌,諌
諌,言＋東
巌,巌
巌,山＋厳
巌,山＋⺍＋厂＋敢
巌,山＋⺍＋厂＋丅＋耳＋攵
巌,山＋⺍＋厂＋一＋丨＋耳＋攵
癌,癌
癌,疒＋嵒
癌,疒＋品＋山
癌,疒＋口＋吅＋山
翫,翫
翫,習＋元
翫,羽＋白＋一＋兀
翫,羽＋白＋一＋儿
贋,贋
贋,雁＋貝
贋,厂＋倠＋貝
贋,厂＋亻＋隹＋貝
雁,雁
雁,厂＋倠
雁,厂＋亻＋隹
鴈,鴈
鴈,厂＋亻＋鳥
其,其
其,卄＋一＋八
其,一＋丨＋八
嬉,嬉
嬉,女＋喜
嬉,女＋壴＋口
嬉,女＋十＋豆＋口
徽,徽
徽,彳＋山＋一＋糸＋攵
徽,彳＋山＋一＋幺＋小＋攵
槻,槻
槻,木＋規
槻,木＋夫＋見
槻,木＋二＋人＋見
槻,木＋一＋人＋見
毅,毅
毅,豙＋殳
毅,亠＋丷＋豕＋几＋又
磯,磯
磯,石＋幾
磯,丆＋口＋幺＋戈＋人
磯,一＋丿＋口＋幺＋戈＋人
祁,祁
祁,示＋阝
祁,礻＋阝
稀,稀
稀,禾＋希
稀,禾＋㐅＋布
稀,禾＋㐅＋巾
窺,窺
窺,穴＋規
窺,宀＋八＋夫＋見
窺,宀＋八＋二＋人＋見
窺,宀＋八＋一＋人＋見
箕,箕
箕,竹＋其
箕,竹＋卄＋一＋八
箕,竹＋一＋丨＋八
葵,葵
葵,艹＋癸
葵,艹＋癶＋天
葵,艹＋癶＋一＋大
鰭,鰭
鰭,魚＋耆
鰭,⺈＋田＋灬＋老＋日
鰭,⺈＋田＋灬＋耂＋匕＋日
麒,麒
麒,鹿＋其
麒,广＋比＋卄＋一＋八
麒,广＋比＋一＋丨＋八
妓,妓
妓,女＋支
妓,女＋十＋又
祇,祇
祇,示＋氏
祇,礻＋氏
蟻,蟻
蟻,虫＋義
蟻,虫＋⺷＋我
蟻,虫＋䒑＋丨＋一＋我
蟻,虫＋丷＋一＋丨＋我
誼,誼
誼,言＋宜
誼,言＋宀＋且
掬,掬
掬,扌＋匊
掬,扌＋勹＋米
鞠,鞠
鞠,革＋匊
鞠,革＋勹＋米
麹,麹
麹,麦＋匊
麹,龶＋夂＋勹＋米
吃,吃
吃,口＋乞
吃,口＋𠂉＋乙
桔,桔
桔,木＋吉
桔,木＋士＋口
橘,橘
橘,木＋矞
橘,木＋矛＋冏
橘,木＋予＋丿＋冂＋㕣
橘,木＋予＋丿＋冂＋儿＋口
橘,木＋龴＋乛＋亅＋丿＋冂＋八＋口
橘,木＋龴＋乛＋亅＋丿＋冂＋儿＋口
迄,迄
迄,辶＋乞
迄,辶＋𠂉＋乙
仇,仇
仇,亻＋九
厩,厩
厩,厂＋既
厩,厂＋旣
厩,厂＋既
厩,厂＋皀＋旡
厩,厂＋白＋匕＋旡
廐,廐
廐,广＋旣
廐,广＋既
廐,广＋皀＋旡
廐,广＋白＋匕＋旡
廏,廏
廏,广＋皀＋殳
廏,广＋白＋匕＋几＋又
汲,汲
汲,氵＋及
灸,灸
灸,久＋火
玖,玖
玖,王＋久
笈,笈
笈,竹＋及
韮,韮
韮,艹＋韭
韭,韭
鳩,鳩
鳩,九＋鳥
嘘,嘘
嘘,口＋虚
嘘,口＋虍＋业
嘘,口＋卜＋丿＋乛＋七＋业
渠,渠
渠,洰＋木
渠,氵＋巨＋木
鋸,鋸
鋸,金＋居
鋸,金＋尸＋古
鋸,金＋尸＋十＋口
禦,禦
禦,御＋示
禦,彳＋卸＋示
禦,彳＋止＋卩＋示
亨,亨
亨,亠＋口＋了
亨,亠＋口＋乛＋亅
侠,侠
侠,亻＋夹
侠,亻＋二＋丷＋人
侠,亻＋一＋丷＋大
侠,亻＋一＋丷＋人
僑,僑
僑,亻＋喬
僑,亻＋呑＋冋
僑,亻＋夭＋口＋冂
僑,亻＋丿＋大＋口＋冂
兇,兇
兇,凶＋儿
兇,凵＋㐅＋儿
劫,劫
劫,去＋力
劫,土＋厶＋力
匡,匡
匡,匚＋王
卿,卿
卿,卽
卿,即
卿,皀＋卩
卿,白＋匕＋卩
叶,叶
叶,口＋十
喬,喬
喬,呑＋冋
喬,夭＋口＋冂
喬,丿＋大＋口＋冂
彊,彊
彊,弓＋畺
彊,弓＋一＋田
怯,怯
怯,忄＋去
怯,忄＋土＋厶
橿,橿
橿,木＋畺
橿,木＋一＋田
蕎,蕎
蕎,艹＋喬
蕎,艹＋呑＋冋
蕎,艹＋夭＋口＋冂
蕎,艹＋丿＋大＋口＋冂
饗,饗
饗,鄕＋食
饗,郷＋食
饗,鄉＋食
饗,乡＋阝＋食
饗,乡＋郎＋食
馨,馨
馨,殸＋香
馨,声＋殳＋禾＋日
馨,士＋几＋又＋禾＋日
尭,尭
尭,十＋卄＋兀
尭,十＋一＋丨＋儿
旭,旭
旭,九＋日
粁,粁
粁,米＋千
檎,檎
檎,木＋禽
檎,木＋人＋离
檎,木＋人＋㐫＋禸
檎,木＋人＋亠＋凶＋冂＋厶
檎,木＋人＋亠＋凵＋㐅＋冂＋厶
欣,欣
欣,斤＋欠
欣,斤＋丿＋乛＋人
欽,欽
欽,金＋欠
欽,金＋丿＋乛＋人
禽,禽
禽,人＋离
禽,人＋㐫＋禸
禽,人＋亠＋凶＋冂＋厶
禽,人＋亠＋凵＋㐅＋冂＋厶
芹,芹
芹,艹＋斤
衿,衿
衿,衤＋今
衿,衤＋亼
衿,衤＋亽
衿,衤＋人＋一
衿,衤＋人＋丶
倶,倶
倶,亻＋具
倶,亻＋目＋一＋八
垢,垢
垢,土＋后
垢,土＋⺁＋一＋口
狗,狗
狗,犭＋句
狗,犭＋勹＋口
矩,矩
矩,矢＋巨
躯,躯
躯,身＋区
躯,身＋匚＋㐅
躯,身＋匸＋㐅
鉤,鉤
鉤,金＋句
鉤,金＋勹＋口
鈎,鈎
鈎,金＋勾
鈎,金＋勹＋厶
駈,駈
駈,馬＋丘
寓,寓
寓,宀＋禺
弘,弘
弘,弓＋厶
腔,腔
腔,月＋空
腔,月＋穴＋工
腔,月＋宀＋八＋工
喰,喰
喰,口＋食
粂,粂
粂,久＋米
馴,馴
馴,馬＋川
袈,袈
袈,加＋衣
袈,力＋口＋亠
圭,圭
圭,土
桂,桂
桂,木＋圭
桂,木＋土
珪,珪
珪,王＋圭
珪,王＋土
畦,畦
畦,田＋圭
畦,田＋土
繋,繋
繋,軗＋糸
繋,車＋殳＋幺＋小
繋,車＋几＋又＋幺＋小
罫,罫
罫,罒＋卦
罫,罒＋圭＋卜
罫,罒＋土＋卜
荊,荊
荊,艹＋刑
荊,艹＋开＋刂
荊,艹＋一＋廾＋刂
荊,艹＋一＋丿＋丨＋刂
頸,頸
頸,巠＋頁
頸,一＋巛＋工＋頁
頚,頚
頚,圣＋頁
頚,又＋土＋頁
戟,戟
戟,龺＋戈
戟,十＋日＋戈
蕨,蕨
蕨,艹＋厥
蕨,艹＋厂＋欮
蕨,艹＋厂＋屰＋欠
蕨,艹＋厂＋䒑＋屮＋丿＋乛＋人
蕨,艹＋厂＋丷＋一＋凵＋丨＋丿＋乛＋人
訣,訣
訣,言＋夬
訣,言＋大
頁,頁
倦,倦
倦,亻＋卷
倦,亻＋巻
倦,亻＋龹＋㔾
倦,亻＋龹＋己
倦,亻＋丷＋二＋人＋㔾
倦,亻＋八＋二＋人＋㔾
倦,亻＋丷＋二＋人＋己
倦,亻＋八＋二＋人＋己
倦,亻＋丷＋一＋人＋㔾
倦,亻＋八＋一＋人＋㔾
倦,亻＋丷＋一＋人＋己
倦,亻＋八＋一＋人＋己
喧,喧
喧,口＋宣
喧,口＋宀＋亘
喧,口＋宀＋一＋旦
喧,口＋宀＋一＋日
捲,捲
捲,扌＋卷
捲,扌＋巻
捲,扌＋龹＋㔾
捲,扌＋龹＋己
捲,扌＋丷＋二＋人＋㔾
捲,扌＋八＋二＋人＋㔾
捲,扌＋丷＋二＋人＋己
捲,扌＋八＋二＋人＋己
捲,扌＋丷＋一＋人＋㔾
捲,扌＋八＋一＋人＋㔾
捲,扌＋丷＋一＋人＋己
捲,扌＋八＋一＋人＋己
牽,牽
牽,玄＋冖＋牛
牽,亠＋幺＋冖＋牛
硯,硯
硯,石＋見
硯,丆＋口＋見
硯,一＋丿＋口＋見
絢,絢
絢,糸＋旬
絢,幺＋小＋勹＋日
鰹,鰹
鰹,魚＋堅
鰹,⺈＋田＋灬＋臤＋土
鰹,⺈＋田＋灬＋臣＋又＋土
鹸,鹸
鹸,鹵＋㑒
鹸,卜＋囗＋㐅＋丶＋亼＋口＋人
鹸,卜＋囗＋㐅＋丶＋人＋一＋口
彦,彦
彦,产＋彡
彦,亠＋丷＋厂＋彡
絃,絃
絃,糸＋玄
絃,幺＋小＋亠
諺,諺
諺,言＋彥
諺,言＋彦
諺,言＋文＋厂＋彡
諺,言＋产＋彡
諺,言＋亠＋乂＋厂＋彡
諺,言＋亠＋丷＋厂＋彡
諺,言＋亠＋丿＋厂＋彡
乎,乎
壺,壺
壺,士＋冖
壷,壷
壷,士＋冖
姑,姑
姑,女＋古
姑,女＋十＋口
狐,狐
狐,犭＋瓜
瑚,瑚
瑚,王＋胡
瑚,王＋古＋月
瑚,王＋十＋口＋月
糊,糊
糊,米＋胡
糊,䊀＋月
糊,米＋古＋月
糊,米＋十＋口＋月
菰,菰
菰,艹＋孤
菰,艹＋子＋瓜
袴,袴
袴,衤＋夸
袴,衤＋大＋亏
袴,衤＋大＋一＋丂
袴,衤＋大＋二
跨,跨
跨,足＋夸
跨,口＋龰＋大＋亏
跨,口＋止＋大＋亏
跨,口＋龰＋大＋一＋丂
跨,口＋龰＋大＋二
跨,口＋止＋大＋一＋丂
跨,口＋止＋大＋二
醐,醐
醐,酉＋胡
醐,酤＋月
醐,酉＋古＋月
醐,酉＋十＋口＋月
鈷,鈷
鈷,金＋古
鈷,金＋十＋口
伍,伍
伍,亻＋五
冴,冴
冴,冫＋牙
吾,吾
吾,五＋口
梧,梧
梧,木＋吾
梧,木＋五＋口
亙,亙
亙,一＋丶
亘,亘
亘,一＋旦
亘,一＋日
佼,佼
佼,亻＋交
佼,亻＋亠＋父
佼,亻＋亠＋八＋乂
佼,亻＋亠＋八＋丿
倖,倖
倖,亻＋幸
叩,叩
叩,口＋卩
宏,宏
宏,宀＋厷
宏,宀＋厶
巷,巷
巷,共＋巳
巷,共＋己
巷,龷＋八＋巳
巷,龷＋八＋己
巷,卄＋一＋八＋巳
巷,卄＋一＋八＋己
巷,一＋丨＋八＋巳
巷,一＋丨＋八＋己
幌,幌
幌,巾＋晃
幌,巾＋日＋光
幌,巾＋日＋⺌＋兀
幌,巾＋日＋丨＋丷＋一＋儿
庚,庚
庚,广＋彐＋人
昂,昂
昂,日＋卬
昂,日＋卩
晃,晃
晃,日＋光
晃,日＋⺌＋兀
晃,日＋丨＋丷＋一＋儿
杭,杭
杭,木＋亢
杭,木＋亠＋几
浩,浩
浩,氵＋告
浩,氵＋吿
浩,氵＋⺧＋口
浩,氵＋牛＋口
浩,氵＋丿＋土＋口
皐,皐
皐,白＋十
皋,皋
皋,白＋夲
皋,白＋大＋十
砿,砿
砿,石＋広
砿,丆＋口＋广＋厶
砿,一＋丿＋口＋广＋厶
糠,糠
糠,米＋康
糠,米＋广＋隶
紘,紘
紘,糸＋厷
紘,幺＋小＋厶
縞,縞
縞,糸＋高
縞,幺＋小＋亠＋口＋冋
縞,幺＋小＋亠＋口＋冂
肴,肴
肴,㐅＋有
肴,㐅＋月
肱,肱
肱,月＋厷
肱,月＋厶
膏,膏
膏,高＋月
膏,亠＋口＋冋＋月
膏,亠＋口＋冂＋月
藁,藁
藁,艹＋槀
藁,蒿＋木
藁,艹＋高＋木
藁,艹＋亠＋口＋冋＋木
藁,艹＋亠＋口＋冂＋木
蛤,蛤
蛤,虫＋合
蛤,虫＋亼＋口
蛤,虫＋人＋一＋口
袷,袷
袷,衤＋合
袷,衤＋亼＋口
袷,衤＋人＋一＋口
釦,釦
釦,金＋口
閤,閤
閤,門＋合
閤,門＋亼＋口
閤,門＋人＋一＋口
鮫,鮫
鮫,魚＋交
鮫,⺈＋田＋灬＋亠＋父
鮫,⺈＋田＋灬＋亠＋八＋乂
鮫,⺈＋田＋灬＋亠＋八＋丿
鴻,鴻
鴻,氵＋䲨
